vecindario,day,x_outs,y_outs
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,6,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,7,shake_intensity,1.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,roads_and_bridges,10.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,8,shake_intensity,3.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,9.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,10.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,8.0
1,9,sewer_and_water,10.0
1,9,power,10.0
1,9,power,8.0
1,9,power,8.0
1,9,power,10.0
1,9,power,10.0
1,9,power,8.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,10.0
1,9,power,8.0
1,9,power,9.0
1,9,power,8.0
1,9,power,10.0
1,9,power,8.0
1,9,power,8.0
1,9,power,10.0
1,9,power,10.0
1,9,power,8.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,10.0
1,9,power,10.0
1,9,power,9.0
1,9,power,10.0
1,9,power,8.0
1,9,power,9.0
1,9,power,8.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,9.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,9.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,roads_and_bridges,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,medical,9.0
1,9,medical,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,9.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,8.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,9.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,8.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,10.0
1,9,buildings,8.0
1,9,buildings,10.0
1,9,buildings,9.0
1,9,buildings,10.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,2.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,2.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,9,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
1,10,shake_intensity,1.0
2,6,medical,2.0
2,6,medical,10.0
2,6,medical,10.0
2,6,medical,7.0
2,6,medical,4.0
2,6,medical,3.0
2,6,medical,2.0
2,6,medical,10.0
2,6,medical,10.0
2,6,medical,7.0
2,6,medical,4.0
2,6,medical,3.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,6,shake_intensity,1.0
2,7,medical,7.0
2,7,medical,9.0
2,7,medical,7.0
2,7,medical,9.0
2,7,medical,7.0
2,7,medical,9.0
2,7,medical,7.0
2,7,medical,9.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,7,shake_intensity,1.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,9.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,8.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,7.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,6.0
2,8,sewer_and_water,10.0
2,8,sewer_and_water,10.0
