Genes,BB9,BB10,BB17,BB19,BB20,BB21,BB11,BB12,BB18
accD,6.875411,7.047582,7.431765,7.105877,6.516094,6.676126,6.304694,6.168221,6.245553
aceF,7.732412,7.674997,8.397717,7.455056,7.277269,6.525536,7.45573,6.40383,7.597941
ackA,7.23172,7.260976,8.03328,6.921924,6.920829,6.556644,6.35815,5.888768,6.35931
agaV,6.048825,6.250033,5.120269,5.559767,5.915593,6.27949,6.441998,6.553099,6.105364
alaS,7.811728,7.85389,8.622037,7.636451,7.641365,7.12592,7.164957,6.555678,7.09859
allA,5.946895,6.103896,6.307866,6.780678,7.041254,6.593324,6.183348,6.366462,6.289392
alsK,5.924551,6.039577,5.713146,5.834003,5.960419,6.031064,6.11892,6.51581,6.126643
amiD,5.724541,5.831523,5.70907,6.721578,6.653576,5.88022,6.091234,5.7645,6.216009
ansB,6.173147,6.400401,5.867748,5.370443,5.720662,6.061625,6.625723,6.76964,6.810597
appY,5.732378,6.022235,5.946988,5.488001,5.827997,6.168401,5.742222,6.195899,5.547326
apt,7.282041,7.188124,7.542691,7.011384,6.92015,6.458743,6.380279,6.429131,6.631745
araF,5.40521,5.645558,4.978699,5.503953,5.003917,5.56645,5.668715,5.912027,5.938521
araG,5.870784,5.79613,5.895957,5.951098,5.834585,6.00313,5.711467,5.865473,5.75438
argC,5.643741,5.172688,5.115033,5.942632,6.076709,5.950702,5.836202,6.202829,5.831219
argO,6.303817,6.31094,6.170005,6.087017,6.091531,6.142965,6.301771,6.742532,6.436695
argR,9.298241,9.522782,10.057437,9.923402,9.926157,9.174751,9.94314,8.032283,8.937953
aroH,6.53843,6.476641,6.769335,6.699232,6.931967,6.169384,6.137708,6.132577,7.228222
aroK,7.351814,7.279713,7.753056,7.700842,7.690061,7.213717,7.177081,6.92946,7.266693
astA,5.412511,5.25686,4.768131,7.744013,7.684728,7.151159,6.997112,5.959051,6.739889
astB,5.251492,5.177041,5.095882,6.72495,7.003557,6.282403,5.770115,5.629561,6.10572
atpC,6.85316,6.749534,6.341719,7.135555,7.276943,6.817802,7.720764,6.701715,7.064754
azoR,6.07427,6.242393,6.389429,5.796546,5.939274,6.298035,5.768952,6.053546,6.070947
bamD,8.724872,8.847706,9.512567,9.226523,9.24438,8.302557,8.116671,6.614003,7.778885
bcsB,6.870525,6.83009,6.682587,6.476139,6.673599,6.658226,6.692762,7.136981,7.13342
btuE,5.721591,5.700467,5.677903,7.115814,7.186263,6.642008,6.099569,5.491981,5.486039
btuR,6.025095,6.425728,6.580085,5.735874,6.021857,5.550931,5.591829,5.370618,5.553299
cbpM,5.69769,5.906746,5.059096,7.280752,7.369528,6.417279,5.877695,5.858006,6.437461
ccmE,5.461168,5.828225,5.614033,6.046185,5.992111,6.063201,6.229626,6.014712,6.069466
chbA,5.563677,5.23787,4.917289,4.516835,4.784242,5.16374,4.677903,5.469463,4.613767
chbB,5.420752,5.206682,5.268734,5.122134,4.373161,5.09043,5.337354,5.670642,4.667665
cheR,5.483171,5.562517,4.292635,5.045006,5.07382,5.428946,5.070947,5.859622,5.674263
cheW,5.733246,5.857857,4.902797,5.556828,5.410171,5.475701,5.270006,6.027243,6.279471
chiQ,5.695437,5.281661,6.255066,5.43969,4.347737,5.561479,5.348091,5.540585,5.158337
cho,5.674263,5.86483,6.0229,7.786132,7.698746,7.055478,7.319844,6.550177,6.978253
chpS,6.022323,6.322397,6.3135,6.114367,6.173567,6.275491,6.586915,6.437411,6.492061
clpS,7.459317,7.383989,7.955202,8.86819,8.812797,7.968459,8.254892,6.914995,7.680648
cmk,7.961421,8.088232,8.727778,8.025793,7.895139,7.331723,6.99536,6.305113,7.039851
cmoB,6.014712,5.958147,6.278561,5.909821,5.990978,5.627432,5.868711,5.932864,6.018167
coaA,6.487454,6.35713,7.190862,6.694685,6.42425,6.045137,6.547619,5.890374,5.929838
coaE,7.143812,7.189834,7.913949,7.834863,7.947257,6.830167,6.813666,6.24163,6.484831
cohE,7.281049,7.515747,8.263297,8.555325,8.225511,7.873487,6.874748,6.468095,6.999109
corA,7.705688,7.616512,7.906536,7.630034,7.476997,7.311539,7.029596,6.60183,6.674814
croE,5.419404,5.451772,5.054154,5.824895,6.057883,6.20762,8.621437,6.894151,8.236062
crr,8.757877,8.867433,9.665387,11.010283,10.744682,9.988599,9.749707,7.690033,8.916548
csdE,6.368489,6.36592,6.192352,6.287823,6.230126,6.179252,6.667083,6.63545,6.523546
csgE,5.56154,5.574556,5.153765,5.191918,5.00513,5.365867,5.593473,5.417245,5.412036
cutC,5.96167,5.75315,6.00232,6.172247,6.30241,6.123852,6.565216,6.033423,6.127654
cvpA,6.455787,6.280993,6.283477,6.177918,6.115429,6.331275,6.325404,6.190417,6.973014
cydA,8.630118,8.578478,8.884574,7.287583,7.255151,6.598395,6.603893,5.860739,6.36133
cydB,7.533205,7.662376,8.22078,6.416266,6.410646,5.842401,6.069831,5.693487,5.960743
cydC,6.097653,6.336819,6.598618,5.606738,5.852548,5.826548,5.576794,5.729879,5.711467
cydD,6.24123,6.215232,6.512764,5.558757,5.584241,5.59132,5.475733,5.648609,5.52491
cynS,6.274709,6.072792,6.245439,5.986957,5.217929,6.115824,6.451046,6.542103,6.21255
cyoD,7.009504,7.004771,7.01258,6.977715,6.3196,6.638117,6.167258,6.555448,6.863864
cysE,6.895933,7.03848,7.031142,7.078215,6.964318,6.847032,7.044766,7.108828,7.421829
cysW,5.619442,5.682967,5.107562,5.283551,5.705784,5.788373,5.919269,5.965484,5.984589
dadA,7.074505,7.099095,7.736909,8.818972,8.806585,8.106244,8.428268,6.760168,7.874305
dapF,6.136458,5.74001,5.888183,6.100809,5.861161,5.613915,6.485362,6.561143,6.437344
dcm,6.257312,6.12532,6.541886,6.153096,6.104169,6.151656,6.025693,6.093877,5.970578
ddlB,7.106694,7.14752,7.677706,7.906181,8.095292,7.213911,7.423284,6.406945,6.858329
ddpC,5.563219,5.404903,5.582977,5.675195,5.747898,6.15971,5.550962,5.882472,5.982218
degQ,7.5248,7.731333,8.288612,8.682794,8.764862,8.325337,7.881022,6.784085,7.480613
degS,6.3749,6.083341,6.387397,6.628161,6.433978,6.20592,6.465207,6.364572,6.456083
dhaL,7.800505,7.733693,8.378043,5.379967,5.328154,5.634303,5.063632,5.222495,5.504716
dicA,6.287306,6.582119,7.014824,7.240953,6.670472,6.722999,6.647156,6.234329,6.294621
dnaG,8.066229,8.358067,8.882374,8.441857,8.42483,8.102207,8.016758,7.407608,7.964295
dnaJ,7.056703,6.878578,7.008294,7.770974,7.813198,7.016195,7.419842,6.584602,7.404827
dnaQ,7.681154,7.900281,8.647073,9.278598,9.237884,8.342595,8.125455,6.651769,7.593735
dnaT,6.709828,6.717937,6.85316,7.55346,7.390109,6.991907,6.91872,6.421762,6.978642
dsbA,7.585008,7.567895,8.302776,7.609038,7.686725,6.914313,7.857203,6.775209,7.423654
dtpA,6.964248,7.064279,7.407548,7.168161,7.20679,6.663046,6.577867,5.914875,6.524738
efp,8.608998,8.879543,9.647834,9.314715,9.375311,8.673881,8.406162,7.371942,8.299707
elaA,5.757343,5.570341,5.588595,5.77813,5.624774,5.952799,5.643452,5.709125,5.318353
endA,6.246408,6.251265,5.887355,5.652888,4.968275,5.758356,6.102658,6.551808,6.571282
entD,6.105154,6.243174,6.092017,5.46956,5.91138,6.213503,5.880318,6.460759,5.869032
erpA,6.449281,6.629429,7.071484,6.872976,6.916357,6.962861,6.659625,6.296769,6.111699
essQ,5.178037,5.655781,5.623838,5.494544,4.360364,5.069788,4.984453,6.049957,4.47703
eutL,5.773548,5.597859,4.888646,5.17724,5.089202,5.642471,5.753818,5.944367,5.52491
eutN,5.794624,5.727512,5.854195,5.37865,4.921722,5.825022,5.706641,6.007554,6.32722
fabH,9.06346,9.082397,9.677905,8.799048,8.764669,7.917014,7.726436,6.470065,7.488748
fdx,6.436212,6.608514,6.930903,6.0688,6.82693,6.238787,5.945327,5.767258,5.735576
fepB,6.458644,6.632385,6.827959,5.704485,5.477418,6.155689,6.066972,6.119771,6.353447
