Genes,Controle,Osmoses_2M,Thermal_50C,Acid_PH
Cp1002_0061,0,1.89720944118751,3.33406621968349,2.90395027424137
Cp1002_0220,0,0,0,3.03890143548159
Cp1002_0327,0,3.35191237412397,2.76899094960315,3.22620793702899
Cp1002_0330,0,2.54135376008446,1.96903441761572,1.90693291404238
Cp1002_0361,0,3.365318798866,0,3.25545087999767
Cp1002_0403,0,2.56766226032677,2.11403046791754,3.23131873336379
Cp1002_0467,0,0,0,1.72036165314076
Cp1002_0493,0,5.66515112667586,3.01209127162873,5.96801469742663
Cp1002_0511,0,5.03782585719401,4.29248729162076,4.77911260631274
Cp1002_0634,0,0,0,5.08005641514278
Cp1002_0813,0,1.53050028967624,1.92333937163215,2.63168403844398
Cp1002_0929,0,7.94339392934751,0,0
Cp1002_1418,0,0,10.3397609448865,0
Cp1002_1419,0,7.07217012849218,0,7.67652130205656
Cp1002_1494,0,9.59428914267949,0,0
Cp1002_1514,0,0,3.15167376071544,3.71487192350274
Cp1002_1609,0,5.635557066314,0,0
Cp1002_1616,0,2.01386955149728,0.710920357348003,1.17730551323277
Cp1002_1622,0,0.426362452044269,0.662893635517903,1.55670407157252
Cp1002_1744,0,0,0,1.25687177476391
Cp1002_1801,0,4.77321570874834,3.49237878273643,0
Cp1002_1810,0,2.19866072972402,1.83266321480239,0.943952073722484
crcB2,0,3.90958111597968,2.10471909106367,2.59670858570854
esxT,0,3.57427108444171,3.71437741518321,3.6010665368035
glbO,0,2.25469985291323,0,1.97616930793868
glgX,0,1.05054348885226,1.756698817064,0
mepB,0,1.79932773521228,1.8853205526616,1.6171197807321
ycaO,0,1.19893412424768,0.124541346926321,1.14098146940062
gspE,0.287991122851217,0.895992778048973,1.08735421071053,1.09862167722896
Cp1002_1621,0.316318391850752,0.160930511543387,0.183953944969003,0.662508137579326
Cp1002_1893,0.342791382668889,0.75961946747864,1.16277076052626,1.87983905260174
fecB,0.391398201956444,0.459297310592874,0.72190982390797,0.420459765079196
tauD,0.403242631772585,0.672546636408431,1.09908644456124,0.886195038719001
Cp1002_1878,0.40514391443911,1.45332266064831,1.17456621196635,1.63675221004088
pfoS,0.471993791303172,1.32966898982121,0.809224267619449,1.18945138620503
Cp1002_1811,0.474710148738557,0.890252115157069,1.30748098587627,2.00204717380841
Cp1002_2047,0.486619648819374,1.4094289548943,2.40270580729312,1.96811287627241
Cp1002_1890,0.510007906562973,0.641242661313504,0.553027194908196,1.75582761922228
Cp1002_0993,0.565080442533836,1.89305150273685,1.14701357068799,0.818632177261155
Cp1002_1634,0.670753336572558,1.78918253015275,2.00234247669418,3.75790865292599
Cp1002_1936,0.734103046046511,1.82007682109751,1.45093408778932,2.25323596463877
phuC,0.738737577710473,2.62655594938034,2.25274565352443,1.98239675715785
Cp1002_1780,0.774514252456743,1.12367943820159,1.18105801262295,1.01488370823873
htaB,0.78114397514003,0,1.24751438792898,0
Cp1002_1922,0.794911548390945,0.816394909169121,0.372631215764711,0.932972775420963
Cp1002_0524,0.802391767757173,0.815070397212566,0.855581540206779,0.642973221095576
mgtE1,0.840443091389792,0.948180685480798,0.771801929350082,1.99072981871395
mutY,0.86754305924062,1.99108188455684,1.53748990456491,0.882492805634927
bioY,0.911715354990099,2.13693617074692,1.6292726790171,1.88670621136873
Cp1002_2046,0.926845045560077,2.06503800881684,2.50671364086853,2.02947762253824
ygbN,0.982818022811749,2.45125859632765,1.10706513336028,2.37007219068364
desA3,1.02093950399726,1.28878377707988,0.599323507330638,1.42111286233242
Cp1002_0223,1.09436445385582,1.24240129195558,0.866566991139346,1.67505261358875
Cp1002_1948,1.11754212218792,2.10465200519416,0.576867472699916,1.24917831918694
Cp1002_1535,1.13160265355183,1.39047509327564,1.73803279368133,2.35481885303423
eccC3,1.14502524223657,1.57760043055911,1.07413546712429,1.41458478268614
gluD,1.18222191496938,2.00779111818032,0.922640105572943,2.17958111323004
Cp1002_0409,1.21110566961748,2.53371035110035,1.12872891565501,1.7715010902468
trpD,1.22652086048283,1.02773441068048,0.836554357917772,1.56689793919918
fecD,1.23004311502976,0.508867732951271,0.327083720061229,1.81176693762571
Cp1002_1153,1.23667629199905,2.781424764489,2.99680450089617,2.51312686767884
dgoR,1.25493865240596,0.919004399866456,0,1.22504042658797
Cp1002_1913,1.26463851194811,1.2774373117229,1.40888030146443,1.4409309426975
lysG,1.31667868779447,2.06844725299294,2.27165276017359,1.55028997505539
Cp1002_1560,1.32823904642651,2.24632295204502,2.08063719944065,1.96392535800347
arcB,1.34424903066306,1.3289742947512,1.60835034537498,2.1204448432183
Cp1002_1649,1.34703628859179,1.48759439307683,1.06899404819131,1.99865766933142
Cp1002_1061,1.36879628096013,2.54077620464762,2.31336486196261,1.34871399273786
leuC,1.37365934641987,1.9486905459509,1.20255563694229,1.51129091747255
mscS,1.39755108419556,0.881829041949674,1.32128162268846,1.21386982378409
Cp1002_0288,1.40335499047736,1.58788340382098,1.5544709756078,2.52647952053942
Cp1002_0328,1.4059760271867,0,1.7614640032686,1.81589098389019
trpC,1.40757029478141,0.921718900735104,0.839690366760528,1.71165348425964
fecE,1.44662148991482,0.410139178310709,0.646995768842702,0.874530234429687
uvrB,1.45360712756618,1.5251317575124,1.60202922491099,1.94870923242761
Cp1002_0774,1.45632254197751,2.22327116713848,1.5641879105204,2.10287309202508
Cp1002_1727,1.45808272414471,3.52053539664155,2.18042160344212,2.5661405211497
Cp1002_1724,1.49966988349413,1.88842569929771,3.1475704631509,3.91995974562804
nrdG,1.50269721253674,1.83439975096038,1.46514908521849,3.14768767628273
tetR3,1.53192287644525,1.90184195750126,2.01762265132405,6.21634815298517
rmlD,1.5532671060847,2.08762237752772,1.99293516478167,1.88075995974491
serB,1.56725337455015,0.901803350250744,2.28174572103125,0.65058168363306
Cp1002_0615,1.56985560833095,2.90443400010865,3.1948702960158,2.57938533614287
mrpD,1.573864067705,2.40657204328252,2.45272457042305,2.69246067608248
Cp1002_0331,1.57680750452361,1.76764632423278,2.03797253426622,1.51037459755207
Cp1002_0301,1.61150763191609,3.37653766541506,2.80778766566158,2.96148071851966
Cp1002_1914,1.62481679918314,3.32557926004597,2.54302810714794,3.42479178305346
nrdF,1.62888555425578,2.00385405672862,1.35445780270791,1.47999620759525
nrdD,1.64603359240365,2.05213066587704,2.14730669878029,3.00393139263513
