"","ID_Gene","S1_Ct_Cp13","S2_A_Ct_Cp13","S2_B_Ct_Cp13","S3_Ct_Cp13","S4_A_Ct_Cp13","S4_B_Ct_Cp13","S1_LI_Cp13","S2_LI_Cp13","S3_LI_Cp13","S3_A_LI_Cp13","S3_B_LI_Cp13"
"1","CpCp13_RS00070",3.725435,1.924925,1.841798,4.452432,6.988628,1.102274,34.894571,20.203873,21.063777,40.902412,33.459615
"2","CpCp13_RS00295",0.429835,0.314634,0.225785,0.363881,0.171347,0.090085,0,0,0,0,0
"3","CpCp13_RS00450",13.761778,7.675025,5.507687,10.651591,16.718955,21.974831,3.900868,0,11.452512,0,0
"4","CpCp13_RS00570",2.437968,7.368531,6.058872,8.468597,4.263627,5.142464,2.691784,0.483372,0,1.467869,1.51676
"5","CpCp13_RS00620",1.87536,5.038775,4.944797,8.546923,5.347407,4.069104,2.23265,0.632831,1.156731,1.235401,0.851033
"6","CpCp13_RS01180",0.990832,1.526901,0.438289,1.412715,0.665228,0.874353,3.725064,7.265231,8.202278,12.6535,13.410214
"7","CpCp13_RS01225",24.953323,5.374693,3.374824,9.712413,4.756378,6.540159,2.560981,0.235052,1.002501,0,2.950247
"8","CpCp13_RS01230",22.583286,7.077668,6.400952,9.62073,5.808037,4.608092,1.872546,0.678417,0,0.61805,2.182006
"9","CpCp13_RS01235",49.576889,12.994205,10.960721,19.69468,16.760153,11.552976,5.387773,2.632015,4.082038,0,2.62784
"10","CpCp13_RS01595",3.983744,3.645071,9.184172,7.475665,2.646757,5.009484,6.051908,1.020224,0.725213,1.54907,1.067111
"11","CpCp13_RS01605",1.228289,6.102943,6.25649,4.33574,4.273199,2.496244,6.203701,0.305029,0,0,0.717856
"12","CpCp13_RS01610",1.271983,7.138264,2.672609,5.096905,2.704295,4.798487,3.94354,1.737338,0,0.989216,0
"13","CpCp13_RS01615",0.970566,1.623871,2.719053,2.754459,1.179124,1.084861,1.65068,0,0,0,0.742805
"14","CpCp13_RS01620",0.871008,4.100439,5.59797,4.256452,4.030395,2.233505,1.728251,0.489862,0.298468,1.593833,0.439179
"15","CpCp13_RS01685",16.46983,16.497321,13.356447,10.860635,8.293172,8.720212,9.02983,0,0,4.044794,0.696586
"16","CpCp13_RS02255",0.103743,0,0.193759,0.79628,0.661689,0.811722,4.837409,3.259049,2.417377,3.227229,2.334305
"17","CpCp13_RS02260",0,0.671837,0.321412,1.243189,0.73175,0,2.731714,6.581445,6.015004,4.282723,2.950247
"18","CpCp13_RS02265",0.53059,1.821396,1.076398,2.106482,2.217218,1.04299,16.445377,18.217601,11.191142,16.733154,16.525951
"19","CpCp13_RS02270",1.631354,6.156421,3.148402,5.155883,5.08689,4.376315,48.985514,30.748943,27.876225,58.190904,48.942298
"20","CpCp13_RS02275",0.946077,1.278495,1.834926,1.72504,3.017106,0.854125,19.818939,9.095094,11.446462,19.016569,17.42765
"21","CpCp13_RS02285",1.285474,3.634025,3.973819,3.482341,3.10994,2.37824,149.344021,82.278744,61.198106,76.11567,76.228688
"22","CpCp13_RS02380",0.248631,0.269623,0.851332,0.698487,0.646069,0.463184,0.328889,0,0,0.34375,0.2072
"23","CpCp13_RS02610",2.925562,0.423008,1.113037,0.146765,0,0.242228,27.519485,8.13975,1.262408,8.089588,5.456591
"24","CpCp13_RS02615",2.708854,0.166977,0.079883,0.231735,0.181868,0.573698,21.810776,4.206187,1.993276,4.257678,3.02465
"25","CpCp13_RS02790",0.824102,0.402156,0,0.651142,0.43802,0,54.574154,14.914189,31.204596,21.790616,14.127944
"26","CpCp13_RS03080",0.198209,1.160693,0.888455,0.644336,0,0.26586,5.781294,1.62434,0.692785,8.878816,1.656516
"27","CpCp13_RS03560",13.400302,7.587526,4.298602,5.957852,5.219479,2.286769,89.103052,32.833257,44.691898,41.367212,35.620882
"28","CpCp13_RS03715",0.420339,0.861515,0.294397,0.512414,0.536196,0.563807,8.444616,3.703076,1.836477,3.530478,4.256081
"29","CpCp13_RS03720",0.14341,0.239942,0,0.360747,0.653349,0.206097,3.658545,2.014728,1.432144,2.294316,2.173173
"30","CpCp13_RS03775",1.357856,2.168587,0.922194,1.616277,1.837095,2.207649,1.347127,0.168602,0.719093,0,0.264526
"31","CpCp13_RS03995",0.457834,0.536208,0.384789,0.496108,0.584026,0.153525,0.81759,1.688399,2.400354,7.690806,2.796156
"32","CpCp13_RS04105",18.735883,9.442743,9.465199,12.480833,9.795085,9.784491,1.828312,0.629272,0,1.433195,0.740466
"33","CpCp13_RS04110",13.860302,12.822438,11.69954,12.994849,8.494742,8.705073,0.739049,0.369989,0.394503,1.263998,0.290244
"34","CpCp13_RS04115",10.841468,15.6324,13.278439,13.504052,7.644544,5.663267,0.972887,0.446467,0.952096,0,0.350239
"35","CpCp13_RS04425",2.244155,2.150439,1.028787,1.768553,0.780738,1.641881,17.730421,14.880045,17.826894,19.039303,24.263931
"36","CpCp13_RS05300",2041.707524,17033.290659,27071.445936,13012.939078,5307.02985,6354.044547,1539.991897,3638.634833,1221.957747,4828.733903,7079.792308
