"","ID_gene","S1_A_Ct_T1","S1_B_Ct_T1","S2_Ct_T1","S1_A_LI_T1","S1_B_LI_T1","S2_LI_T1"
"1","CpCp13_RS00195",3682.796079,3897.674687,2510.642675,524.642236,888.110901,848.300947
"2","CpCp13_RS00215",0.268895,0.545153,0.366946,0,0,0
"3","CpCp13_RS00225",1.995225,1.555801,0.911083,0.330879,0.300058,0
"4","CpCp13_RS00295",0.617298,0.093862,0.505436,0.133081,0.060342,0
"5","CpCp13_RS00300",0.53995,0.638566,0.442104,0,0,0
"6","CpCp13_RS00570",16.354163,17.264998,14.611276,0.779166,2.208092,1.574804
"7","CpCp13_RS00620",12.167193,12.076816,12.245386,1.420832,1.536272,0.883601
"8","CpCp13_RS00890",5.211143,6.101272,6.122886,1.123448,1.426325,0.181652
"9","CpCp13_RS01035",7.468984,6.19465,8.339335,1.463825,1.327475,0
"10","CpCp13_RS01080",0.401936,0.713017,0.699337,0,0.196451,0.35027
"11","CpCp13_RS01180",2.396568,1.275424,2.403794,14.208319,15.110433,8.354043
"12","CpCp13_RS01225",8.435921,11.090115,10.468767,0.568333,0,0
"13","CpCp13_RS01230",10.728407,9.737623,10.372935,0.574122,0.743778,0.53046
"14","CpCp13_RS01235",22.676272,21.830588,19.281169,1.735627,1.311633,0.935453
"15","CpCp13_RS01405",1.257587,1.564532,1.497741,0.246471,0.447026,0
"16","CpCp13_RS01455",2.231864,2.579158,2.485295,15.012136,14.92283,8.402303
"17","CpCp13_RS01595",10.584164,9.182535,10.110546,1.850104,1.118516,0.332384
"18","CpCp13_RS01600",6.24883,6.507586,5.855954,0.526234,1.622539,0.6807
"19","CpCp13_RS01605",8.381586,6.285554,6.16246,0.737531,1.170457,0
"20","CpCp13_RS01610",10.351482,11.419071,8.824664,1.312725,0.71427,0
"21","CpCp13_RS01615",4.778939,3.444882,4.173799,0.915797,0.934305,0
"22","CpCp13_RS01620",6.082709,6.742803,4.932249,1.692059,0.728864,0.136796
"23","CpCp13_RS01805",0.221131,0.298878,0.271589,0.079454,0,0.256942
"24","CpCp13_RS01990",0,0.122782,0.074381,0.522252,0.710409,0.211109
"25","CpCp13_RS02255",0.158921,0.241646,0.292776,4.282649,3.029314,2.492882
"26","CpCp13_RS02260",0,0,0.215851,7.388326,4.123157,3.675779
"27","CpCp13_RS02265",0.546534,0.63925,0.447496,15.135991,14.301475,8.499808
"28","CpCp13_RS02270",2.332422,2.279913,2.182581,33.582339,28.825694,16.260881
"29","CpCp13_RS02275",1.254174,1.525614,0.924212,9.553504,9.562685,6.703496
"30","CpCp13_RS02280",0.90537,0.688324,0.787638,8.539343,9.292721,5.128454
"31","CpCp13_RS02285",0.814833,1.44548,1.042462,112.206969,104.343979,68.879084
"32","CpCp13_RS02295",4.796801,4.758277,4.516696,1.034122,1.20574,0.716608
