day,values,location
6,105,Palace Hills
6,390,Northwest
6,596,Old Town
6,114,Safe Town
6,193,Southwest
6,461,Downtown
6,6,Wilson Forest
6,654,Scenic Vista
6,558,Broadview
6,206,Chapparal
6,90,TerrapinSprings
6,118,Pepper Mill
6,122,CheddardFord
6,237,Easton
6,466,Weston
6,165,Southon
6,64,Oak Willow
6,179,East Parton
6,239,West Parton
7,77,Palace Hills
7,229,Northwest
7,183,Old Town
7,51,Safe Town
7,96,Southwest
7,235,Downtown
7,1,Wilson Forest
7,230,Scenic Vista
7,226,Broadview
7,70,Chapparal
7,55,TerrapinSprings
7,53,Pepper Mill
7,50,CheddardFord
7,94,Easton
7,254,Weston
7,105,Southon
7,50,Oak Willow
7,79,East Parton
7,114,West Parton
8,1210,Palace Hills
8,3487,Northwest
8,3969,Old Town
8,1771,Safe Town
8,997,Southwest
8,1320,Downtown
8,146,Wilson Forest
8,7418,Scenic Vista
8,5137,Broadview
8,76,Chapparal
8,1983,TerrapinSprings
8,2313,Pepper Mill
8,555,CheddardFord
8,4321,Easton
8,2524,Weston
8,1029,Southon
8,1212,Oak Willow
8,3469,East Parton
8,733,West Parton
9,201,Palace Hills
9,1055,Northwest
9,4788,Old Town
9,947,Safe Town
9,331,Southwest
9,879,Downtown
9,18,Wilson Forest
9,4165,Scenic Vista
9,2643,Broadview
9,1796,Chapparal
9,669,TerrapinSprings
9,917,Pepper Mill
9,449,CheddardFord
9,1695,Easton
9,1219,Weston
9,1733,Southon
9,359,Oak Willow
9,725,East Parton
9,346,West Parton
10,69,Palace Hills
10,227,Northwest
10,3999,Old Town
10,36,Safe Town
10,93,Southwest
10,264,Downtown
10,2,Wilson Forest
10,1422,Scenic Vista
10,232,Broadview
10,65,Chapparal
10,47,TerrapinSprings
10,62,Pepper Mill
10,49,CheddardFord
10,82,Easton
10,265,Weston
10,113,Southon
10,42,Oak Willow
10,92,East Parton
10,83,West Parton
11,0,Palace Hills
11,2,Northwest
11,0,Old Town
11,0,Safe Town
11,0,Southwest
11,1,Downtown
11,0,Wilson Forest
11,0,Scenic Vista
11,0,Broadview
11,0,Chapparal
11,0,TerrapinSprings
11,0,Pepper Mill
11,1,CheddardFord
11,0,Easton
11,1,Weston
11,0,Southon
11,0,Oak Willow
11,1,East Parton
11,0,West Parton
