Name,S1_Ct_Cp13,S2_A_Ct_Cp13,S2_B_Ct_Cp13,S3_Ct_Cp13,S4_A_Ct_Cp13,S4_B_Ct_Cp13,S1_LI_Cp13,S2_LI_Cp13,S3_LI_Cp13,S3_A_LI_Cp13,S3_B_LI_Cp13
CpCp13_RS00005,2.845076,5.69965,5.08645,3.802941,5.13349,4.142519,8.244951,4.525082,4.579561,6.288451,7.28006
CpCp13_RS10525,14.635642,0,0,0,0,0,0,0,0,0,0
CpCp13_RS00010,2.866365,4.743639,4.451503,5.992528,6.756418,6.268523,4.821954,5.106552,5.444892,9.885839,12.318225
CpCp13_RS00015,1.968546,1.773482,4.496771,2.297197,2.317967,3.249769,3.695661,2.23372,3.175623,5.087396,4.186007
CpCp13_RS00020,6.410954,6.345124,3.035556,4.40296,2.879574,1.816711,10.749799,6.289807,4.734031,3.370662,4.934152
CpCp13_RS00025,15.026676,10.963611,9.669184,11.90784,10.799122,10.645502,32.077112,9.339279,9.958061,14.889434,17.844932
CpCp13_RS00030,8.965432,13.815995,14.100648,21.517694,17.054507,26.371611,21.066138,19.334889,13.74396,20.550163,16.178775
CpCp13_RS00035,0,0,0,4.448302,0,0,0,4.485585,0,0,7.037596
CpCp13_RS00040,7.55016,14.737692,7.050626,0,0,16.878552,14.981005,0,0,0,8.089733
CpCp13_RS00045,6.518092,8.06291,9.201038,6.98086,7.895701,6.269065,11.730091,6.418248,6.181221,10.845497,9.298342
CpCp13_RS00050,14.931504,12.491082,9.39059,21.050171,11.661452,7.152795,51.69617,9.988989,10.650818,11.375182,21.549115
CpCp13_RS00055,518.208853,5684.505216,5970.656177,4616.803027,4096.595115,4503.338463,65.169407,4366.398902,1530.640629,4767.990653,6099.849406
CpCp13_RS00060,52.037561,70435.55799,72329.657492,40951.616704,47130.187638,47512.958778,44.251187,39081.355963,10783.071801,56333.378534,55748.465517
CpCp13_RS00065,1.818146,0.322633,1.080452,1.194023,0.351406,0,3.44358,1.128779,1.925707,3.085012,1.416785
CpCp13_RS00070,3.725435,1.924925,1.841798,4.452432,6.988628,1.102274,34.894571,20.203873,21.063777,40.902412,33.459615
CpCp13_RS00080,2.886705,0,0,9.775082,9.205902,0,4.295844,0,0,0,0
CpCp13_RS00085,2.719646,2.730173,3.809563,5.841378,2.725843,2.866205,7.516294,5.253544,4.752891,4.350974,4.620781
CpCp13_RS00090,1.502977,4.502991,5.385664,5.870614,6.019238,5.274322,5.721667,5.728856,3.665056,10.438178,12.695844
CpCp13_RS00095,3.232049,2.936886,3.122286,6.038346,2.487952,3.176649,10.28295,1.141679,3.895431,6.240539,4.478054
CpCp13_RS00100,23.307669,8.100158,7.750356,6.838641,5.73464,12.291789,27.377679,4.817724,6.043443,6.454459,4.22398
CpCp13_RS00105,19.097419,29.742767,26.466256,22.840357,14.901794,13.625332,21.466004,23.309283,12.42683,20.855969,17.305812
CpCp13_RS00110,0.952769,1.969176,1.099081,1.518262,1.429857,1.127614,2.168494,2.296481,0.979455,0,3.062577
CpCp13_RS00115,2.954986,0,0,0.400252,1.884731,0,3.517965,0,0,0,0
CpCp13_RS00120,21.732415,11.421048,3.902798,11.699116,12.439568,4.671471,45.609164,18.266588,9.738429,0,10.747165
CpCp13_RS00125,1.403679,1.081555,0.620909,0.600404,0.471203,0.3716,1.649117,0.302718,0.64555,2.757814,1.543572
CpCp13_RS00130,0.346733,0,0,0.058706,0,0,0.644988,0,0,0,0.139317
CpCp13_RS00135,0.852105,1.386071,1.591457,1.538899,0.301936,0.793709,1.408954,1.551797,0.827306,0.883572,1.217335
CpCp13_RS00140,1.268536,1.392832,0.888455,0.912809,1.011362,0.13293,2.005755,0.974604,0,0.739901,2.038789
CpCp13_RS00145,1.071634,1.464259,2.301685,2.564362,1.822675,1.317615,4.252668,2.781013,3.745607,3.333621,3.329835
CpCp13_RS00150,43.919818,33.240872,35.475232,26.269902,34.580672,25.379723,98.878092,60.087258,33.703472,69.953808,62.575789
CpCp13_RS00155,41.965068,51.434738,79.288501,47.588275,99.59404,19.635457,84.235181,67.981771,119.388646,145.723749,47.05546
CpCp13_RS00160,2.814974,1.569928,2.534846,2.36035,1.38932,2.02273,5.735073,1.716442,2.63544,2.814676,2.369829
CpCp13_RS00165,2.920962,1.481527,1.997453,2.336477,1.907038,2.467985,5.065589,2.450302,1.205838,3.004977,3.031135
CpCp13_RS00170,3.572468,1.413518,2.907822,3.596478,3.079148,1.052253,5.316361,2.175973,0.843689,2.25267,2.327701
CpCp13_RS00175,1.45628,0.913698,2.404161,2.148645,2.653815,2.092851,4.411717,2.450805,1.817868,6.309879,2.5913
CpCp13_RS00180,2.06156,2.170304,2.595725,2.572751,1.920628,1.941853,3.309202,3.227074,1.214431,4.323414,2.978278
CpCp13_RS00185,10.51176,2.224914,6.386495,6.518669,3.231106,2.123428,12.062112,4.151561,6.639939,2.363841,5.292245
CpCp13_RS00190,6.2246,3.402066,3.48766,5.114929,1.85273,2.783047,10.992241,5.611232,2.17564,4.64721,9.20383
CpCp13_RS00195,261.240293,1819.22185,1542.857346,2677.777299,1981.458614,2201.869994,756.514013,2603.784405,1233.911323,2240.310586,2019.890053
CpCp13_RS00200,1.132476,0.368427,0.705032,1.19306,1.60513,1.265837,1.498036,1.288993,0,1.174295,0.606704
CpCp13_RS00205,0.93369,0,0,0.98364,0,2.783047,1.235083,1.700373,0,0,0.333472
CpCp13_RS00210,1.947316,0,0,2.637633,0,0,3.477472,0,0,0,0
CpCp13_RS00215,0,0.228424,0.10928,0,0,0,0,0,0,0,0.250771
CpCp13_RS00220,0.056045,0,0,0,0,0.375871,0,0,0,0,0
CpCp13_RS00225,0.10019,0,0.374247,0.135708,0,0,0.198798,0,0,0.623342,0.429402
CpCp13_RS00230,0.386979,0.151074,0.216825,0.279553,0,0.69208,0.844627,0,0,0.963046,0.165854
CpCp13_RS00235,3.077258,2.284245,1.517778,1.996009,1.520415,1.090027,4.385918,2.308729,2.272335,2.426876,2.50771
CpCp13_RS10530,208.392638,23.025075,34.882017,25.741345,8.359478,30.764763,1480.379511,730.378919,1076.536146,990.743295,1234.389314
CpCp13_RS00245,0.370685,0.333954,0.239649,0.30898,0,0.191233,0.509201,0.350516,0,0,0.091656
CpCp13_RS00250,0,15.322193,0,3.544087,0,8.773981,0,10.721374,45.726914,0,0
CpCp13_RS00255,7.609416,2.595732,1.034849,2.401615,2.356015,1.4864,5.057292,0.605436,1.291099,0,1.89978
CpCp13_RS00260,3.250624,1.842133,4.99398,2.982651,2.006413,3.164593,5.929728,1.718657,0,0,3.370578
