gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18
aaeA.t01	45.6132	57.7381	35.4817	71.4413	75.5846	59.6099	93.7032	78.2685	75.4577
aaeB.t01	48.4527	42.2968	41.1391	44.0555	47.6292	51.5953	56.3065	69.1718	58.5695
aaeR.t01	49.0572	53.1486	33.4681	55.6848	43.8708	64.5169	51.3741	77.9266	79.0430
aaeX.t01	66.7322	64.9632	64.3814	81.0705	52.5860	69.0053	64.9201	69.2443	56.9660
aas.t01	73.7846	77.6379	77.6300	65.1203	64.7268	77.6184	77.5343	95.9067	93.9019
aat.t01	116.1190	135.6500	183.9980	113.0280	109.5080	79.2153	48.9847	53.8376	56.5432
abgA.t01	43.1262	42.3472	25.9374	24.9753	44.1331	41.9825	40.0243	48.9788	47.5166
abgB.t01	52.9248	49.8870	37.8245	40.2040	47.7964	43.0902	43.7074	55.8739	47.4726
abgR.t01	64.4247	55.9526	65.7116	57.8901	69.0677	74.5122	39.8356	59.9978	58.1246
abgT.t01	49.6757	48.1321	34.5220	33.4765	40.3088	49.9477	40.4558	53.1916	42.0341
abrB.t01	51.0720	47.2778	29.0407	30.6346	33.9294	36.2579	39.7088	45.3439	42.7197
accA.t01	117.0860	140.9570	203.5290	127.5530	137.7580	90.7462	96.3940	65.9590	84.3146
accB.t01	516.0900	531.2560	944.2680	283.7440	280.4080	148.7030	232.7760	121.5290	209.4350
accC.t01	696.7030	800.5090	1311.1100	422.5860	430.2750	232.8230	305.9150	125.9950	252.6400
accD.t01	116.4100	131.2920	171.6570	136.7470	90.5254	101.2620	78.0496	70.9145	74.8746
aceA.t01	76.2173	66.6948	75.9642	1646.3500	1460.2600	710.3530	622.3290	166.2960	631.6360
aceB.t01	343.8910	269.6830	359.9430	9448.9000	9868.3300	4421.5400	4390.5500	980.3860	3999.5400
aceE.t01	575.9710	571.9250	988.9930	386.8460	396.9430	204.0480	338.4610	138.2450	370.5390
aceF.t01	211.6610	203.3640	336.2600	174.4670	154.1230	91.1263	174.5490	83.6734	192.7350
aceK.t01	58.1442	44.4163	47.9567	267.9410	268.0950	175.5040	189.3090	102.4320	172.1590
ackA.t01	149.3020	152.3810	260.9740	120.2570	120.1650	93.1336	81.0338	58.2514	81.0996
acnA.t01	62.6735	63.7649	69.1826	641.2490	681.1020	350.1680	175.6600	64.9626	161.4880
acnB.t01	306.5600	316.9810	545.0080	1257.8600	1161.4400	600.6910	534.1240	170.0190	538.5380
acpH.t01	78.4958	83.8205	84.0840	114.8140	118.4500	117.5670	123.7150	88.0623	95.1937
