ID_gene,S1_A_Ct_T1,S1_B_Ct_T1,S2_Ct_T1,S1_A_LI_T1,S1_B_LI_T1,S2_LI_T1
CpCp13_RS00005,3.311726,3.487861,3.010933,5.37789,7.483609,1.799086
CpCp13_RS10525,0,0,0,0,0,0
CpCp13_RS00010,5.440899,3.809972,4.572176,6.790941,4.898719,3.992859
CpCp13_RS00015,2.574822,1.834106,1.680888,3.900669,3.401284,1.455471
CpCp13_RS00020,4.564575,2.103212,3.057887,6.262185,5.881702,0.723244
CpCp13_RS00025,10.474484,9.802584,9.066457,11.693992,13.932432,8.736878
CpCp13_RS00030,18.793734,15.936921,9.913473,12.466654,11.658724,15.118123
CpCp13_RS00035,0,0,0,0,0,0
CpCp13_RS00040,0,14.655267,0,0,5.652957,0
CpCp13_RS00045,7.953068,6.57608,6.559406,9.386325,8.710636,6.475465
CpCp13_RS00050,9.102574,16.679927,8.599702,13.585747,15.742585,7.322325
CpCp13_RS00055,3186.496584,3884.646356,4833.634495,4085.624753,5213.319422,1461.526664
CpCp13_RS00060,58504.981438,59418.502326,30273.396409,80243.465541,84173.682293,14528.774207
CpCp13_RS00065,0.506394,0.577492,0.414629,3.00221,1.237529,0
CpCp13_RS00070,6.294358,5.742478,7.936764,19.540429,23.380963,14.919945
CpCp13_RS00080,3.316544,8.404875,2.715546,7.149999,0,0
CpCp13_RS00085,3.392433,3.574623,3.033522,4.234192,4.3634,2.800768
CpCp13_RS00090,3.132289,2.035367,2.959246,6.925919,4.632086,2.799652
CpCp13_RS00095,3.585266,3.439653,2.463783,4.968852,3.629851,6.695169
CpCp13_RS00100,13.190474,13.773803,9.1086,6.509627,9.476316,4.985764
CpCp13_RS00105,42.715086,38.331043,33.445642,16.102761,23.957796,9.763788
CpCp13_RS00110,0.643906,1.501258,1.423499,1.110535,0.881206,0.89782
CpCp13_RS00115,0,0,0.555956,0,3.982424,0
CpCp13_RS00120,7.04238,9.085738,5.242012,15.182372,7.509921,2.231689
CpCp13_RS00125,0.763906,0.645304,0.625477,1.097916,0.829707,0.295872
CpCp13_RS00130,0,0,0,0.214703,0,0
CpCp13_RS00135,1.305315,0.661593,0.712517,2.345062,0.637988,0.758352
CpCp13_RS00140,0.728713,0.831025,0.372913,0.785501,1.246584,0.635043
CpCp13_RS00145,1.559525,0.582428,0.873682,2.654301,3.8513,1.71671
CpCp13_RS00150,18.06011,16.315591,12.048989,52.093635,39.476726,34.974762
CpCp13_RS00155,49.335046,56.830083,35.804594,82.186777,67.955077,39.084966
CpCp13_RS00160,3.19563,3.161323,2.585018,3.071145,3.161441,1.342101
CpCp13_RS00165,1.796861,1.848247,2.271779,1.139346,2.01478,0.552667
CpCp13_RS00170,3.050582,2.614439,2.815678,3.945974,4.283261,1.933423
CpCp13_RS00175,3.047476,2.604618,2.201679,4.508773,3.329449,2.291235
CpCp13_RS00180,3.51288,3.237248,3.203155,1.835944,3.433924,1.669816
CpCp13_RS00185,7.275297,7.964892,5.956923,5.646423,4.267066,3.043258
CpCp13_RS00190,6.865404,6.572762,6.363008,4.933612,5.033322,2.991458
CpCp13_RS00195,3682.796079,3897.674687,2510.642675,524.642236,888.110901,848.300947
CpCp13_RS00200,0.722836,1.172371,1.065328,2.181664,1.837132,2.01575
CpCp13_RS00205,0.715146,1.208228,0.683145,1.027836,1.165121,2.492882
CpCp13_RS00210,0,0.907163,1.099113,0,1.749593,0
CpCp13_RS00215,0.268895,0.545153,0.366946,0,0,0
CpCp13_RS00220,0.772687,0.913809,0.105444,0.277634,0,0
CpCp13_RS00225,1.995225,1.555801,0.911083,0.330879,0.300058,0
CpCp13_RS00230,0.296401,0.751147,0.388303,0.638998,0.405635,0.206641
CpCp13_RS00235,2.340382,2.422901,2.425924,3.005849,1.801018,1.388628
CpCp13_RS10530,12.046437,4.57926,11.096408,652.50653,666.797848,320.188214
CpCp13_RS00245,0.06552,0.166043,0.053647,0.282505,0.192143,0
CpCp13_RS00250,0,0,2.461394,0,5.877155,0
CpCp13_RS00255,2.716111,3.699742,1.598441,2.195831,2.821005,0.591745
CpCp13_RS00260,3.61418,2.198196,3.353812,0.519444,2.119768,1.679791
CpCp13_RS00265,0,1.446005,1.751971,3.075279,4.183241,0
CpCp13_RS00270,0.290383,0.564188,0.118881,0.521688,0.189238,0
CpCp13_RS00275,0.533522,0.180275,0.364034,0.766798,0.869217,0
CpCp13_RS00280,1.136633,1.892891,1.528944,1.7503,2.380899,0.566017
CpCp13_RS00285,1.723686,2.271469,2.328699,1.486409,1.010966,1.802545
CpCp13_RS00290,3.57685,4.372312,3.962333,1.587596,1.645391,1.833575
CpCp13_RS10535,666.990773,904.67067,507.664389,1053.137306,1377.463486,523.948182
CpCp13_RS00295,0.617298,0.093862,0.505436,0.133081,0.060342,0
CpCp13_RS00300,0.53995,0.638566,0.442104,0,0,0
CpCp13_RS00305,0,3.017243,2.437116,0,0,0
CpCp13_RS00310,0.367343,0.558558,0.902327,2.375817,0.718173,1.280497
CpCp13_RS00315,0.868524,0.939109,1.208932,1.497931,1.245204,1.816519
CpCp13_RS00320,2.084457,2.0543,2.370455,2.371725,2.490408,1.211012
CpCp13_RS00325,8.024456,6.407692,4.741791,4.89611,5.624069,3.166634
CpCp13_RS00330,0.32126,0.203537,0.361686,1.212036,0.15702,0
CpCp13_RS00335,0.274944,0,0.225121,0,0,0.479204
CpCp13_RS00340,0.120473,0.305305,0.345245,1.038888,0.353295,0
CpCp13_RS00345,2.181301,1.005075,1.623657,2.565042,2.326117,2.764966
CpCp13_RS00350,1.305315,1.323186,1.870358,3.7521,2.977279,3.791762
CpCp13_RS00355,9.329365,8.484866,9.530614,3.38346,3.920609,1.215725
CpCp13_RS00360,5.519998,5.318562,3.714214,4.359528,4.380854,1.714616
CpCp13_RS00365,6.133553,6.051725,3.950701,3.70246,4.716613,0.855222
CpCp13_RS00370,2.978267,2.61171,2.748228,4.382397,4.112827,1.647897
CpCp13_RS00375,5.601979,6.692722,4.914462,10.351775,5.08492,1.394827
CpCp13_RS00380,5.601929,3.470269,3.822325,9.393194,4.867572,2.169711
CpCp13_RS00385,1.143261,0.811239,1.357328,1.478825,2.011617,1.99261
CpCp13_RS00390,0.40302,0.122561,0.362987,0.347542,0.315169,0
CpCp13_RS00395,1.15903,0.881173,1.502583,1.665803,1.888299,0
CpCp13_RS00400,0.595955,0.543703,0.24398,0.770877,1.281633,0
CpCp13_RS00405,0.474242,0.420642,0.436841,1.789196,1.738434,0
CpCp13_RS00410,0.363934,0.342565,0.425692,1.569179,1.829591,0.543691
CpCp13_RS00415,0.395792,0.555522,0.32407,0.721999,0.47618,0.424513
CpCp13_RS00420,0.271611,1.44548,0.222392,0.585555,1.194778,0.946792
CpCp13_RS00425,1.623762,1.810591,1.196565,2.45042,2.063446,0.566017
CpCp13_RS00430,1.929158,3.083783,2.916131,2.239457,2.901228,0
CpCp13_RS00435,14.903966,5.665504,8.008339,16.065418,7.284491,22.729338
CpCp13_RS00440,85.830864,70.215321,53.63264,32.463011,51.518597,15.746961
CpCp13_RS00445,5.485271,4.318158,4.156816,4.528902,3.992966,4.068245
CpCp13_RS00450,6.023219,12.97457,7.397605,6.492602,2.94392,5.248987
CpCp13_RS00455,5.048514,5.117631,11.023095,21.767759,18.095156,17.598288
CpCp13_RS00460,0.179983,0.136835,0.294736,0.970046,0.175938,0.941088
CpCp13_RS00465,3.043698,2.819388,2.277302,4.525366,3.94995,3.475634
CpCp13_RS00470,4.93256,2.428615,3.461759,3.038257,3.719593,1.473779
CpCp13_RS00475,1.867326,1.391832,1.528944,1.894443,0.966365,1.531575
CpCp13_RS00480,1.822455,2.267271,1.7296,1.428711,1.457585,1.588195
CpCp13_RS00485,3.658435,3.476739,2.433829,4.436475,2.23513,2.391132
CpCp13_RS00490,1.644618,1.719231,1.809484,2.880769,5.526307,2.508129
CpCp13_RS00495,3.216447,3.58653,2.150763,5.547363,6.393112,2.242401
CpCp13_RS00500,2.037083,2.177199,1.939885,1.957154,1.86143,1.234945
CpCp13_RS00505,1.030249,1.156249,1.385841,1.348507,0.89919,0.51304
CpCp13_RS00510,8.124507,7.173061,9.120015,10.170165,4.995711,8.678922
CpCp13_RS00515,4.856888,4.307959,5.01614,4.521465,3.07523,2.308679
CpCp13_RS00520,9.789712,12.404674,6.011771,10.552615,4.784838,34.125325
CpCp13_RS00525,5.996484,5.118804,4.263815,5.443187,1.851065,0
CpCp13_RS00530,18.593801,15.223677,16.395481,10.278358,9.787014,17.450174
CpCp13_RS00535,2.84044,3.359215,2.497992,3.175192,3.085109,0.73343
CpCp13_RS00540,1.600565,4.867434,1.965785,8.971538,3.4421,2.231723
CpCp13_RS00545,2.980869,1.667133,2.398618,2.215976,1.507175,1.791521
CpCp13_RS00550,0.83681,0.895392,0.494845,3.407638,2.181338,1.296437
CpCp13_RS00555,2.254884,1.357167,2.307839,1.822954,2.755254,2.947559
