No,DEG ID, Gene Name, Function, Organism
1	DEG10190001	ribF	bifunctional riboflavin kinase/FAD synthetase	Escherichia coli MG1655 II
2	DEG10190002	lspA	prolipoprotein signal peptidase (signal peptidase II)	Escherichia coli MG1655 II
3	DEG10190003	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase* 4Fe-4S protein	Escherichia coli MG1655 II
4	DEG10190004	dapB	dihydrodipicolinate reductase	Escherichia coli MG1655 II
5	DEG10190005	folA	dihydrofolate reductase	Escherichia coli MG1655 II
6	DEG10190006	imp/lptD	LPS assembly OM complex LptDE* beta-barrel component	Escherichia coli MG1655 II
7	DEG10190007	ftsL	membrane bound cell division protein at septum containing leucine zipper motif	Escherichia coli MG1655 II
8	DEG10190008	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3)	Escherichia coli MG1655 II
9	DEG10190009	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase	Escherichia coli MG1655 II
10	DEG10190010	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase	Escherichia coli MG1655 II
11	DEG10190011	mraY	phospho-N-acetylmuramoyl-pentapeptide transferase	Escherichia coli MG1655 II
12	DEG10190012	murD	UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase	Escherichia coli MG1655 II
13	DEG10190013	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division	Escherichia coli MG1655 II
14	DEG10190014	murG	N-acetylglucosaminyl transferase	Escherichia coli MG1655 II
15	DEG10190015	murC	UDP-N-acetylmuramate:L-alanine ligase	Escherichia coli MG1655 II
16	DEG10190016	ftsQ	Divisome assembly protein* membrane anchored protein involved in growth of wall at septum	Escherichia coli MG1655 II
17	DEG10190017	ftsA	ATP-binding cell division protein involved in recruitment of FtsK to Z ring	Escherichia coli MG1655 II
18	DEG10190018	ftsZ	GTP-binding tubulin-like cell division protein	Escherichia coli MG1655 II
19	DEG10190019	lpxC	UDP-3-O-acyl N-acetylglucosamine deacetylase	Escherichia coli MG1655 II
20	DEG10190020	secM	regulator of secA translation	Escherichia coli MG1655 II
21	DEG10190021	secA	preprotein translocase subunit* ATPase	Escherichia coli MG1655 II
22	DEG10190022	can	carbonic anhydrase	Escherichia coli MG1655 II
